Well_Combinations,,,,,
Plate,Well,384 well plate,384 well location,Sample #,Combination
3,E2,2,D16,205,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine"
3,F2,2,E04,206,"L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine, L-Valine"
3,G2,2,E12,207,"L-Alanine, L-Proline, L-Cytosine, DL-Serine, L-Valine"
3,H2,2,E20,208,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine"
3,A3,2,C05,209,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine"
3,B3,2,C13,210,"L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine"
3,C3,2,C21,211,"L-Alanine, L-Histidine, L-Cytosine, DL-Serine, L-Valine"
3,D3,2,D09,212,"L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,E3,2,E05,213,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine"
3,F3,2,D04,214,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine"
3,G3,2,E13,215,"L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine"
3,H3,2,E21,216,"L-Proline, L-Histidine, L-Cytosine, DL-Serine, L-Valine"
3,A4,2,C06,217,"L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,B4,2,C14,218,"L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,C4,2,C22,219,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine"
3,D4,2,D10,220,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine"
3,E4,2,D18,221,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Valine"
3,F4,2,E06,222,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine"
3,G4,2,E14,223,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine, L-Valine"
3,H4,2,E22,224,"D-Alanine, L-Alanine, L-Proline, L-Histidine, DL-Serine, L-Valine"
3,A5,2,C07,225,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine"
3,B5,2,C15,226,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine"
3,C5,2,D03,227,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine, L-Valine"
3,D5,2,D11,228,"D-Alanine, L-Alanine, L-Proline, L-Cytosine, DL-Serine, L-Valine"
3,E5,2,D19,229,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine"
3,F5,2,E07,230,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine"
3,G5,2,E15,231,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine"
3,H5,2,F22,232,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine, DL-Serine, L-Valine"
3,A6,2,C08,233,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,B6,2,C16,234,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine"
3,C6,2,D04,235,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine"
3,D6,2,D12,236,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine"
3,E6,2,D20,237,"D-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine, L-Valine"
3,F6,2,E08,238,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,G6,2,E16,239,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,H6,2,F21,240,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine"
3,A7,2,C09,241,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine"
3,B7,2,C17,242,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine"
3,C7,2,D05,243,"L-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine, L-Valine"
3,D7,2,D13,244,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,E7,2,D21,245,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,F7,2,E09,246,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,G7,2,E17,247,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine"
3,H7,2,F20,248,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine"
3,A8,2,C10,249,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine"
3,B8,2,C18,250,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine, L-Valine"
3,C8,2,D06,251,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,D8,2,D14,252,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,E8,2,D22,253,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,F8,2,E10,254,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,G8,2,E18,255,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
,,,F19,,water
